"replicate","scenario","generation","method","Excluded","Exclusion","rho_all","rmse_all","mae_all","rho_corr","rmse_corr","mae_corr","auc_corr"
1,"Isotropic",2119,"gravity",FALSE,"",0.549690939485473,0.24960319010376,0.132979860300249,NA,0.290907270879738,0.26671639915904,0.984299516908213
1,"Isotropic",2124,"divMigrate",FALSE,"",0.462091061907128,0.19155796528747,0.104329084109454,NA,0.61338912709635,0.586377800512939,0.991696859903382
1,"Isotropic",2124,"gravity",FALSE,"",0.561365012543096,0.245279705200876,0.127483055439811,NA,0.272078145719154,0.248817267437464,0.987733997584541
1,"Isotropic",2129,"divMigrate",FALSE,"",0.460530422766514,0.182835451502021,0.118642795285152,NA,0.491951665002125,0.442296031128853,0.990036231884058
1,"Isotropic",2129,"gravity",FALSE,"",0.555646759335942,0.258884404659605,0.134362470730071,NA,0.229531656240687,0.205158201472757,0.987884963768116
1,"Isotropic",2134,"divMigrate",FALSE,"",0.457338206342532,0.221583569558984,0.101813530369731,NA,0.752571410233373,0.739856526914006,0.986639492753623
1,"Isotropic",2134,"gravity",FALSE,"",0.544379572391832,0.254660903625045,0.14038427734853,NA,0.306658203164222,0.289300890578962,0.985922403381642
1,"Isotropic",2139,"divMigrate",FALSE,"",0.462020123764373,0.188570387677613,0.123211469815082,NA,0.529036358029908,0.498763425763674,0.991621376811594
1,"Isotropic",2139,"gravity",FALSE,"",0.536226885006616,0.283517888971097,0.157732365860811,NA,0.224765878564528,0.204759818076988,0.988753019323672
1,"Isotropic",2144,"divMigrate",FALSE,"",0.454819902274724,0.204087972460794,0.12759779162851,NA,0.601679400131766,0.575095250304923,0.983959842995169
1,"Isotropic",2144,"gravity",FALSE,"",0.512206425468802,0.294449233038515,0.176080238981724,NA,0.275012558821941,0.259484215999208,0.981468900966184
1,"Isotropic",2149,"divMigrate",FALSE,"",0.458579623840747,0.219134833241238,0.107661855961563,NA,0.733043279367112,0.718646982334063,0.987960446859903
1,"Isotropic",2149,"gravity",FALSE,"",0.499912735912482,0.27710649398704,0.157213348187348,NA,0.377207602874018,0.34058549598342,0.953049516908213
1,"Isotropic",2154,"divMigrate",FALSE,"",0.460424015552382,0.195842795853669,0.131396249544855,NA,0.529741972867929,0.502212541826505,0.989923007246377
1,"Isotropic",2154,"gravity",FALSE,"",0.536519141682814,0.303451360708443,0.165197287221217,NA,0.190151537928871,0.172157014197292,0.986224335748792
1,"Isotropic",2159,"divMigrate",FALSE,"",0.448329062212626,0.205858333579227,0.131854464066557,NA,0.562735051271773,0.535262447820538,0.977053140096618
1,"Isotropic",2159,"gravity",FALSE,"",0.507978105497621,0.294738723760837,0.177116329495969,NA,0.284994171850638,0.268062698312887,0.978600543478261
1,"Isotropic",2164,"divMigrate",FALSE,"",0.450599082780792,0.198622000491629,0.132622003517957,NA,0.514901561443314,0.466414154706527,0.979468599033816
1,"Isotropic",2164,"gravity",FALSE,"",0.510389502355852,0.287745753455067,0.170452668454973,NA,0.296509784358635,0.281212088308663,0.976336050724638
1,"Isotropic",2169,"divMigrate",FALSE,"",0.4551745929885,0.202291582696825,0.137563979209314,NA,0.51346433647458,0.486427129671893,0.984337258454106
1,"Isotropic",2169,"gravity",FALSE,"",0.5064021621471,0.305112180337168,0.184450721571702,NA,0.258283388471575,0.24092104227646,0.980336654589372
1,"Isotropic",2174,"divMigrate",FALSE,"",0.452372536349671,0.197495896085285,0.114307141855948,NA,0.603812532385032,0.57039880754249,0.981355676328502
1,"Isotropic",2174,"gravity",FALSE,"",0.523162060722619,0.305077523261832,0.174148779584683,NA,0.191708034438723,0.168472291527106,0.987054649758454
1,"Isotropic",2179,"divMigrate",FALSE,"",0.455777567201918,0.194981248952747,0.118063370187118,NA,0.573017177934012,0.547255632736998,0.9849788647343
1,"Isotropic",2179,"gravity",FALSE,"",0.519157623823752,0.301826386224268,0.175999452599644,NA,0.225892175142797,0.208257530681134,0.98569595410628
1,"Isotropic",2184,"divMigrate",FALSE,"",0.455529283702275,0.198316506379198,0.118093150819456,NA,0.599370655714909,0.570039280288892,0.984714673913043
1,"Isotropic",2184,"gravity",FALSE,"",0.515987593534233,0.287612525290351,0.169481019503971,NA,0.253208470943639,0.229978085220302,0.983884359903382
1,"Isotropic",2189,"divMigrate",FALSE,"",0.447264990071299,0.207800744185095,0.112714539762572,NA,0.661388990444228,0.635153210229651,0.975920893719807
1,"Isotropic",2189,"gravity",FALSE,"",0.525272851931085,0.293128380643605,0.163839611977952,NA,0.244067279047875,0.218422214189215,0.98011020531401
1,"Isotropic",2194,"divMigrate",FALSE,"",0.451237526065588,0.196986579117279,0.110561656868873,NA,0.603819296542124,0.570488341415145,0.980147946859903
1,"Isotropic",2194,"gravity",FALSE,"",0.517647032798178,0.282348284772003,0.159508831267479,NA,0.266033396051449,0.239517841148174,0.975732185990338
1,"Isotropic",2199,"divMigrate",FALSE,"",0.447442335428187,0.202818677153153,0.112344650995582,NA,0.635234020497621,0.608448990800513,0.976109601449275
1,"Isotropic",2199,"gravity",FALSE,"",0.541958702206673,0.259819942242026,0.140607461817283,NA,0.280015248963118,0.26402193180083,0.982223731884058
1,"Isotropic",2204,"divMigrate",FALSE,"",0.45868603105488,0.206817680291016,0.105139911133381,NA,0.680695603473944,0.660920752953483,0.988073671497585
1,"Isotropic",2204,"gravity",FALSE,"",0.532375039694009,0.27110493936643,0.153800801361149,NA,0.272311326135223,0.253991063424862,0.986601751207729
1,"Isotropic",2209,"divMigrate",FALSE,"",0.452514412635181,0.207026316527562,0.11047470681189,NA,0.667640807069531,0.648907281015792,0.981506642512077
